#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
0,0.087532508580399113,12.458292158415881,0.00069654000530705855,0.0079575007800362831,0.09913686956851428
1,0.086967959663135086,12.458296037288406,0.00068758418254260829,0.0079061781511940987,0.098497507931117612
2,0.086977433405453275,12.458226217583452,0.0006877339928909145,0.0079070394004957523,0.09850768556272152
3,0.088321843565401695,12.458166741538477,0.0007091589137082989,0.0080292585059456092,0.10002984127798652
4,0.087948491993116176,12.458232251385036,0.00070317611307847455,0.0079953174539196519,0.099607521764483495
5,0.087843850202965396,12.457356919158917,0.00070150381986191124,0.0079858045639059454,0.09948201773922459
6,0.086978725279411875,12.457052643161514,0.00068775442283921845,0.0079071568435828982,0.098499869058246994
7,0.085969341097822644,12.45801287959639,0.00067188432807216154,0.0078153946452566032,0.097364287149735426
8,0.085012062498982521,12.458106403522098,0.0006570046154846282,0.0077283693180893202,0.096280847290472274
9,0.087177243243444738,12.458292589401648,0.00069089743086606645,0.0079252039312222491,0.098734509405842941
10,0.087244420688985233,12.458231389413383,0.00069196263103242137,0.0079313109717259311,0.09881010730715474
11,0.087500211731592323,12.457963316225694,0.00069602609573395341,0.0079545647028720287,0.099097675264923482
12,0.086509344409990432,12.457571550104168,0.00068035151547694026,0.0078644858554536758,0.097972395249096345
13,0.085119288037049906,12.458066752825333,0.00065866301781220612,0.007738117094277264,0.096401979301684954
14,0.084625361562522761,12.457970211998825,0.00065104107450797324,0.0076932146875020695,0.095841839411412624
15,0.086431401348176881,12.457575428976121,0.0006791261035463302,0.0078574001225615343,0.097884154702456524
16,0.086816379786045159,12.457820228929441,0.0006851894362868028,0.0078923981623677409,0.098322077481910408
17,0.086477908810485504,12.457878412016655,0.00067985715565769514,0.0078616280736804999,0.097939206662408379
18,0.084929813190689499,12.45776721767184,0.00065573392441867413,0.0077208921082445002,0.096185076597269548
19,0.084147798824742909,12.45788099793169,0.00064371382245903672,0.0076497998931584462,0.095300296726958486
20,0.083823107838001745,12.456759572795177,0.00063875576432920634,0.0076202825307274315,0.094924027362042779
21,0.085440964651236587,12.456890592488152,0.00066365076732125992,0.0077673604228396895,0.096757158979736524
22,0.085127039280771838,12.45680396433514,0.00065878298333727923,0.0077388217527974397,0.096400985489530161
23,0.085167948622606238,12.456172570091541,0.00065941631568935423,0.0077425407838732944,0.096442424134897578
24,0.083839471574741128,12.456749229135204,0.00063900518126652956,0.0076217701431582846,0.094942479355432666
25,0.083581096784230091,12.457007389648926,0.00063507270360498524,0.007598281525839099,0.094651849116010572
26,0.083563010548890759,12.457203919188249,0.0006347978847267298,0.0075966373226264323,0.094632860228073726
27,0.08503703872874234,12.457372434648921,0.00065739072325032952,0.0077306398844311222,0.096303460198509772
28,0.084952636297178225,12.457361229017257,0.00065608640125824024,0.0077229669361071115,0.096207788882842926
29,0.084679189643892344,12.456966876980655,0.0006518695598860259,0.0076981081494447582,0.0958950782330482
30,0.082370610890692655,12.457286668468306,0.00061681068531871776,0.007488237353699332,0.093283119356565081
31,0.082062283640690417,12.457224606508758,0.00061220167239319325,0.0074602076036991288,0.092933481730464521
32,0.082399462742302754,12.457149614973778,0.00061724286002001272,0.0074908602493002499,0.093314766870392987
33,0.083796409109651623,12.45774006556457,0.0006383489254247368,0.007617855373604693,0.09490126210143153
34,0.083699518563206649,12.457811178226315,0.00063687358251932492,0.0076090471421096954,0.094792072542625172
35,0.083404971302023276,12.456801378421209,0.0006323990216264842,0.0075822701183657524,0.09445083286202044
36,0.081623477121467627,12.456948344590179,0.00060567200158170452,0.0074203161019516023,0.092434494382541865
37,0.08106711007257833,12.456992305144826,0.00059744330322904834,0.0073697372793253028,0.091804760579494271
38,0.081520988454571189,12.45670311365104,0.00060415195987366626,0.0074109989504155625,0.092316613700906117
39,0.082522621392439252,12.45577433918195,0.00061908936740726116,0.0075020564902217503,0.093443922721997474
40,0.082369749641382661,12.456346688367429,0.00061679778690764179,0.0074881590583075145,0.093275105287917368
41,0.082230657879159244,12.457040575557969,0.00061471646320357582,0.0074755143526508408,0.093122785614137463
42,0.08119974246503156,12.456906538964001,0.00059939983421704085,0.0073817947695483241,0.091954327534076785
43,0.081142900011127714,12.455536435002012,0.00059856092929235188,0.0073766272737388833,0.091879849775484232
44,0.080969358276834449,12.455403260380139,0.0005960033617965799,0.0073608507524394956,0.091682364461106489
45,0.081926206251012476,12.456031206737713,0.00061017302460758505,0.0074478369319102254,0.092770489246567417
46,0.081968407466791515,12.456728972800734,0.00061080180205836027,0.0074516734060719562,0.092823476013265266
47,0.081247972425924214,12.456429006661617,0.00060011209302943103,0.0073861793114476555,0.092005418223520513
48,0.079912174758995994,12.455970868721026,0.00058054142497384687,0.0072647431599087266,0.090489429168563437
49,0.079241261552971703,12.456838443202997,0.00057083432113695198,0.0072037510502701548,0.089735963018269235
50,0.079504803839291163,12.457253482559469,0.00057463762122946969,0.0072277094399355599,0.090037408591565213
51,0.080574044847346885,12.457488800823494,0.00059019788209656971,0.0073249131679406256,0.091250023756624887
52,0.080785912175566466,12.457219865664507,0.00059330578236712163,0.007344173834142406,0.091487988183572261
53,0.080831127763904262,12.457012992464861,0.00059397011050769217,0.0073482843421731146,0.0915376735227766
54,0.078908819322515408,12.457433203651957,0.00056605470607939826,0.0071735290293195829,0.089363758717206962
55,0.079074179188442506,12.457201333272979,0.00056842961948417399,0.0071885617444038645,0.089549360946702947
56,0.078556568358121692,12.457268567063323,0.00056101222110947692,0.0071415062143746991,0.088963660885817322
57,0.079162457241872153,12.456439350321144,0.00056969951241556691,0.0071965870219883772,0.089643849768706485
58,0.079805810470244126,12.456400561596356,0.000578997034982957,0.0072550736791131025,0.090372103850927393
59,0.079282170894807061,12.456053618001182,0.00057142387470849015,0.0072074700813460962,0.089776633783386309
60,0.077915368253008099,12.456019139135023,0.00055189132818198744,0.0070832152957280093,0.088228665290202027
61,0.077806850840986569,12.456143263054347,0.00055035509434468472,0.0070733500764533245,0.08810666190203903
62,0.077516179201670823,12.45685438967825,0.00054625073072959486,0.0070469253819700753,0.087782523378129002
