#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
0;-0.004332863;12.5925701;1.71E-06;-0.000393897
1;-0.004198078;12.59262893;1.60E-06;-0.000381643
2;-0.00413413;12.59267871;1.55E-06;-0.00037583
3;-0.004637961;12.59226885;1.96E-06;-0.000421633
4;-0.004504252;12.59254791;1.84E-06;-0.000409477
5;-0.004118412;12.59264316;1.54E-06;-0.000374401
6;-0.003872526;12.59277008;1.36E-06;-0.000352048
7;-0.003817836;12.59254618;1.33E-06;-0.000347076
8;-0.003705228;12.5926438;1.25E-06;-0.000336839
9;-0.003547189;12.59186889;1.14E-06;-0.000322472
10;-0.00354482;12.592666;1.14E-06;-0.000322256
11;-0.003615012;12.59291511;1.19E-06;-0.000328637
12;-0.00342726;12.59255502;1.07E-06;-0.000311569
13;-0.002735892;12.59277525;6.80E-07;-0.000248717
14;-0.003177282;12.59236905;9.18E-07;-0.000288844
15;-0.003198598;12.59228759;9.30E-07;-0.000290782
16;-0.003270728;12.59246494;9.73E-07;-0.000297339
17;-0.002887041;12.59203374;7.58E-07;-0.000262458
18;-0.002797256;12.59160276;7.11E-07;-0.000254296
19;-0.002731155;12.59223889;6.78E-07;-0.000248287
20;-0.002431225;12.59254769;5.37E-07;-0.00022102
21;-0.003318312;12.5923475;1.00E-06;-0.000301665
22;-0.003809009;12.59222467;1.32E-06;-0.000346274
23;-0.003262977;12.59219515;9.68E-07;-0.000296634
24;-0.003330585;12.59193569;1.01E-06;-0.00030278
25;-0.003646448;12.59208977;1.21E-06;-0.000331495
26;-0.003716424;12.59234384;1.26E-06;-0.000337857
27;-0.003207641;12.5919928;9.35E-07;-0.000291604
28;-0.003240584;12.59216153;9.55E-07;-0.000294599
29;-0.003371925;12.59257118;1.03E-06;-0.000306539
30;-0.003335106;12.59230095;1.01E-06;-0.000303191
31;-0.003418647;12.59225613;1.06E-06;-0.000310786
32;-0.002241535;12.59240741;4.57E-07;-0.000203776
33;-0.003379676;12.59228975;1.04E-06;-0.000307243
34;-0.003925062;12.59224256;1.40E-06;-0.000356824
35;-0.003836569;12.59225678;1.34E-06;-0.000348779
36;-0.003904392;12.59233349;1.39E-06;-0.000354945
37;-0.003709534;12.59212209;1.25E-06;-0.00033723
38;-0.003667764;12.59182881;1.22E-06;-0.000333433
39;-0.003641065;12.59215162;1.21E-06;-0.000331006
40;-0.003343288;12.59240482;1.02E-06;-0.000303935
41;-0.003717716;12.59269638;1.26E-06;-0.000337974
42;-0.003500897;12.5923725;1.11E-06;-0.000318263
43;-0.003601663;12.59267656;1.18E-06;-0.000327424
44;-0.004055972;12.59243995;1.50E-06;-0.000368725
45;-0.004098173;12.59262268;1.53E-06;-0.000372561
46;-0.003945517;12.59282051;1.42E-06;-0.000358683
47;-0.00357238;12.59316228;1.16E-06;-0.000324762
48;-0.003150584;12.59281253;9.02E-07;-0.000286417
49;-0.003149076;12.59317176;9.02E-07;-0.00028628
50;-0.003599294;12.59253584;1.18E-06;-0.000327209
51;-0.003516614;12.59237358;1.12E-06;-0.000319692
52;-0.00350671;12.59246731;1.12E-06;-0.000318792
53;-0.003621041;12.59203029;1.19E-06;-0.000329186
54;-0.003628577;12.59262743;1.20E-06;-0.000329871
55;-0.003284292;12.59258734;9.81E-07;-0.000298572
56;-0.003502619;12.59263432;1.12E-06;-0.00031842
57;-0.002710916;12.59242982;6.68E-07;-0.000246447
58;-0.002972305;12.59263648;8.03E-07;-0.00027021
59;-0.002802208;12.59250912;7.14E-07;-0.000254746
60;-0.002474072;12.59244469;5.56E-07;-0.000224916
61;-0.002978118;12.59258928;8.06E-07;-0.000270738
62;-0.00312044;12.59234793;8.85E-07;-0.000283676
63;-0.003693601;12.59209537;1.24E-06;-0.000335782
64;-0.004047359;12.59218998;1.49E-06;-0.000367942
65;-0.003561184;12.59241538;1.15E-06;-0.000323744
66;-0.003575179;12.59198677;1.16E-06;-0.000325016
67;-0.003904607;12.59227682;1.39E-06;-0.000354964
68;-0.003779726;12.59228242;1.30E-06;-0.000343611
69;-0.003809009;12.59238823;1.32E-06;-0.000346274
70;-0.003500251;12.59235203;1.11E-06;-0.000318205
71;-0.00343415;12.59256278;1.07E-06;-0.000312195
72;-0.003267929;12.59252076;9.71E-07;-0.000297084
73;-0.003966617;12.59264833;1.43E-06;-0.000360602
74;-0.003745276;12.59289485;1.28E-06;-0.00034048
75;-0.003651615;12.59256881;1.21E-06;-0.000331965
76;-0.003473767;12.59301208;1.10E-06;-0.000315797
77;-0.003848195;12.59274552;1.35E-06;-0.000349836
78;-0.003791138;12.59304268;1.31E-06;-0.000344649
79;-0.003908914;12.59299441;1.39E-06;-0.000355356
80;-0.004310902;12.59270306;1.69E-06;-0.0003919
81;-0.004478845;12.59264639;1.82E-06;-0.000407168
82;-0.004403486;12.59321357;1.76E-06;-0.000400317
83;-0.004080517;12.59280995;1.51E-06;-0.000370956
84;-0.004277313;12.59281103;1.66E-06;-0.000388847
85;-0.004423079;12.59249576;1.78E-06;-0.000402098
86;-0.004084393;12.59265544;1.52E-06;-0.000371308
87;-0.004098819;12.59255761;1.53E-06;-0.00037262
88;-0.003623625;12.59280779;1.19E-06;-0.00032942
89;-0.003584653;12.59280542;1.17E-06;-0.000325878
90;-0.003401422;12.59273991;1.05E-06;-0.00030922
91;-0.003429844;12.59220441;1.07E-06;-0.000311804
92;-0.003728482;12.59217963;1.26E-06;-0.000338953
93;-0.004149417;12.59230979;1.57E-06;-0.00037722
94;-0.004011402;12.59254101;1.46E-06;-0.000364673
95;-0.003849918;12.59243391;1.35E-06;-0.000349993
96;-0.003973292;12.59259338;1.44E-06;-0.000361208
97;-0.003339412;12.59265135;1.01E-06;-0.000303583
98;-0.003600802;12.59240137;1.18E-06;-0.000327346
99;-0.002930965;12.5927356;7.81E-07;-0.000266451
100;-0.003041851;12.59272375;8.41E-07;-0.000276532
